rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
109,EMN,Eastman Chemical Co,67.21,100,48.8,,Narrow,,Basic Materials,Specialty Chemicals
110,TCOM,Trip.com Group Ltd ADR,42.36,63,48.7,,Narrow,,Consumer Cyclical,Travel Services
111,MQ,Marqeta Inc Class A,16.43,24.4,48.5,,None,,Technology,Software - Infrastructure
112,NOW,ServiceNow Inc,111.26,165,48.3,,Narrow,,Technology,Software - Application
113,ABG,Asbury Automotive Group Inc,210.73,312,48.1,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
114,IONS,Ionis Pharmaceuticals Inc,56.75,84,48.0,,Narrow,,Healthcare,Biotechnology
115,EL,The Estee Lauder Companies Inc Class A,81.15,120,47.9,,Wide,,Consumer Defensive,Household & Personal Products
116,XPEV,XPeng Inc ADR,12.95,19,46.7,,None,,Consumer Cyclical,Auto Manufacturers
117,CCI,Crown Castle Inc,79.84,117,46.5,,Narrow,,Real Estate,REIT - Specialty
118,GAP,Gap Inc,19.8,29,46.5,,None,,Consumer Cyclical,Apparel Retail
119,BDX,Becton Dickinson & Co,153.83,225,46.3,,Narrow,,Healthcare,Medical Instruments & Supplies
120,RMD,ResMed Inc,198.5,290,46.1,,Narrow,,Healthcare,Medical Instruments & Supplies
121,FER,Ferrovial NV,63.7,93,46.0,,Wide,,Industrials,Engineering & Construction
122,VEEV,Veeva Systems Inc Class A,196.81,287,45.8,,Wide,,Healthcare,Health Information Services
123,CPNG,Coupang Inc Ordinary Shares - Class A,17.92,25.8,44.0,,Narrow,,Consumer Cyclical,Internet Retail
124,PBH,Prestige Consumer Healthcare Inc,48.83,70,43.4,,Narrow,,Healthcare,Drug Manufacturers - Specialty & Generic
125,SNY,Sanofi SA ADR,44,63,43.2,,Narrow,,Healthcare,Drug Manufacturers - General
126,OTIS,Otis Worldwide Corp Ordinary Shares,73.42,105,43.0,,Wide,,Industrials,Specialty Industrial Machinery
127,SWKS,Skyworks Solutions Inc,58.24,83,42.5,,None,,Technology,Semiconductors
128,GRAB,Grab Holdings Ltd Class A,3.94,5.6,42.1,,None,,Technology,Software - Application
129,SKM,SK Telecom Co Ltd ADR,31.52,44.7,41.8,,None,,Communication Services,Telecom Services
130,AMCR,Amcor PLC Ordinary Shares,42.43,60,41.4,4,Narrow,,Consumer Cyclical,Packaging & Containers
131,BF/B,Brown-Forman Corp Registered Shs -B- Non Vtg,26.25,37,41.0,,Wide,,Consumer Defensive,Beverages - Wineries & Distilleries
132,WU,The Western Union Co,7.87,11,39.8,,Narrow,,Financial Services,Credit Services
133,OMC,Omnicom Group Inc,82.55,115,39.3,,Narrow,,Communication Services,Advertising Agencies
134,UHS,Universal Health Services Inc Class B,152.77,212,38.8,,Narrow,,Healthcare,Medical Care Facilities
135,LW,Lamb Weston Holdings Inc,46.98,65,38.4,,Narrow,,Consumer Defensive,Packaged Foods
136,ZBH,Zimmer Biomet Holdings Inc,94.08,130,38.2,,Wide,,Healthcare,Medical Devices
137,NVDA,NVIDIA Corp,203.53,280,37.6,,Wide,,Technology,Semiconductors
138,PK,Park Hotels & Resorts Inc,14.18,19.5,37.5,,None,,Real Estate,REIT - Hotel & Motel
139,SE,Sea Ltd ADR,110.66,152,37.4,,Narrow,,Consumer Cyclical,Internet Retail
140,CELH,Celsius Holdings Inc,29.83,41,37.4,,None,,Consumer Defensive,Beverages - Non-Alcoholic
